Gene_ID,DESeq2_log2FC,edgeR_log2FC,Average_log2FC,Gene name,Gene description,Gene type
ENSMUSG00000000184,-0.312607764,-0.318486968,-0.315547366,Ccnd2,cyclin D2 [Source:MGI Symbol;Acc:MGI:88314],protein_coding
ENSMUSG00000000374,-0.252816266,-0.258844835,-0.255830551,Trappc10,trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209],protein_coding
ENSMUSG00000000530,-0.592229393,-0.601285688,-0.596757541,Acvrl1,"activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]",protein_coding
ENSMUSG00000001089,-0.476339283,-0.479570736,-0.477955009,Luzp1,leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629],protein_coding
ENSMUSG00000001119,0.599869123,0.58980862,0.594838872,Col6a1,"collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]",protein_coding
ENSMUSG00000001247,-0.536385489,-0.542132269,-0.539258879,Lsr,lipolysis stimulated lipoprotein receptor [Source:MGI Symbol;Acc:MGI:1927471],protein_coding
ENSMUSG00000001288,0.471042202,0.46350878,0.467275491,Rarg,"retinoic acid receptor, gamma [Source:MGI Symbol;Acc:MGI:97858]",protein_coding
ENSMUSG00000001520,0.409482392,0.400358025,0.404920209,Nrip2,nuclear receptor interacting protein 2 [Source:MGI Symbol;Acc:MGI:1891884],protein_coding
ENSMUSG00000001663,0.450052727,0.441054936,0.445553831,Gstt1,"glutathione S-transferase, theta 1 [Source:MGI Symbol;Acc:MGI:107379]",protein_coding
ENSMUSG00000002012,0.584300318,0.571646435,0.577973377,Pnck,pregnancy upregulated non-ubiquitously expressed CaM kinase [Source:MGI Symbol;Acc:MGI:1347357],protein_coding
ENSMUSG00000002055,0.640117456,0.630355247,0.635236351,Spag5,sperm associated antigen 5 [Source:MGI Symbol;Acc:MGI:1927470],protein_coding
ENSMUSG00000002083,0.655917566,0.643249346,0.649583456,Bbc3,BCL2 binding component 3 [Source:MGI Symbol;Acc:MGI:2181667],protein_coding
